date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2015-12-04	13.38	13.48	13.22	13.11	327999.41	-0.34	-2.51	13.274	13.847	14.44	344650.61	478141.13	601982.2	1.65
2015-12-03	13.16	13.76	13.57	13.03	362925.81	0.39	2.96	13.284	13.967	14.48	396160.36	486052.89	618591.1	1.83
2015-12-02	13.21	13.23	13.17	12.5	291624.53	-0.09	-0.68	13.51	14.067	14.525	454759.42	490761.61	641870.6	1.47
2015-12-01	13.14	13.38	13.27	12.93	301332.53	0.14	1.07	13.92	14.177	14.581	587814.87	514863.97	684946.75	1.52
2015-11-30	13.19	13.55	13.14	12.1	439370.75	-0.13	-0.98	14.172	14.34	14.673	606018.01	572997.88	731980.02	2.21
2015-11-27	14.4	14.59	13.27	13.23	585548.19	-1.43	-9.73	14.42	14.528	14.703	611631.66	581596.04	750066.03	2.95
2015-11-26	15.2	15.25	14.7	14.5	655921.12	-0.53	-3.48	14.65	14.656	14.738	575945.41	591260.35	767763.53	3.3
2015-11-25	14.49	15.59	15.22	14.36	956901.75	0.69	4.75	14.624	14.717	14.692	526763.79	604375.62	782857.62	4.81
2015-11-24	14.25	14.62	14.53	14.02	392348.25	0.15	1.04	14.434	14.771	14.577	441913.07	622860.41	793319.79	1.97
2015-11-23	14.34	14.89	14.38	14.16	467438.97	-0.04	-0.28	14.508	14.929	14.569	539977.76	757130.07	837254.14	2.35
2015-11-20	14.55	14.58	14.42	14.31	407116.97	-0.13	-0.89	14.636	15.033	14.545	551560.42	725823.27	887774.07	2.05
2015-11-19	14.33	14.62	14.57	14.02	410013.03	0.31	2.17	14.662	14.993	14.519	606575.29	751129.32	935190.53	2.06
2015-11-18	14.8	14.88	14.27	14.11	532648.12	-0.63	-4.23	14.81	14.983	14.423	681987.45	792979.59	969228.69	2.68
2015-11-17	15.11	15.98	14.9	14.85	882671.69	-0.14	-0.93	15.108	14.985	14.288	803807.75	855029.53	980261.73	4.44
2015-11-16	14.15	15.15	15.02	14.04	525352.31	0.47	3.23	15.35	15.005	14.14	974282.39	890962.15	997736.45	2.64
2015-11-13	15.0	15.0	14.55	14.32	682191.31	-0.75	-4.9	15.43	14.878	13.955	900086.11	918536.02	1021417.85	3.43
2015-11-12	15.76	15.9	15.31	15.11	787073.81	-0.45	-2.85	15.324	14.82	13.743	895683.35	944266.7	1011123.01	3.96
2015-11-11	15.7	15.95	15.76	15.3	1141749.62	-0.35	-2.17	15.156	14.666	13.488	903971.74	961339.63	1001177.56	5.74
2015-11-10	16.0	16.85	16.11	15.46	1735044.88	0.69	4.47	14.862	14.383	13.179	906251.31	963779.16	956964.24	8.73
2015-11-09	15.42	15.42	15.42	15.42	154370.94	1.4	9.99	14.66	14.209	12.853	807641.91	917378.21	887533.74	0.78
2015-10-30	14.1	14.7	14.02	13.73	660177.5	-0.44	-3.04	14.326	14.057	12.582	936985.93	1049724.87	900468.99	3.32
2015-10-29	14.28	15.14	14.47	13.8	828515.75	0.19	1.33	14.316	14.044	12.362	992850.05	1119251.73	893599.06	4.17
2015-10-28	15.1	15.49	14.29	14.1	1153147.5	-0.81	-5.36	14.176	13.862	12.15	1018707.51	1145477.78	886110.99	5.8
2015-10-27	13.6	15.1	15.1	13.2	1241997.88	1.37	9.98	13.904	13.591	11.936	1021307.01	1105493.94	855520.56	6.25
2015-10-26	13.97	14.0	13.75	13.41	801091.0	-0.22	-1.57	13.758	13.275	11.685	1027114.51	1104510.75	834251.2	4.03
2015-10-23	13.59	14.4	13.97	13.15	939498.12	0.2	1.45	13.788	13.032	11.514	1162463.81	1124299.67	843986.59	4.73
2015-10-22	12.8	13.9	13.77	12.8	957803.06	0.84	6.5	13.772	12.666	11.299	1245653.41	1077979.32	838145.62	4.82
2015-10-21	14.1	14.3	12.93	12.93	1166145.0	-1.44	-10.02	13.548	12.309	11.05	1272248.05	1041015.5	817668.13	5.87
2015-10-20	13.51	14.86	14.37	13.5	1271035.38	0.46	3.31	13.278	11.975	10.855	1189680.86	950149.32	779442.54	6.39
2015-10-19	14.15	14.6	13.9	13.43	1477837.5	0.01	0.07	12.792	11.497	10.547	1181906.99	857689.26	735070.65	7.43
2015-10-16	12.64	13.89	13.89	12.5	1355446.12	1.26	9.98	12.276	11.106	10.308	1086135.54	751213.11	683503.64	6.82
2015-10-15	11.53	12.76	12.65	11.49	1090776.25	1.05	9.05	11.56	10.68	10.12	910305.23	667946.4	637727.09	5.49
2015-10-14	11.76	12.0	11.58	11.42	753309.06	-0.38	-3.18	11.07	10.438	9.98	809782.94	626744.2	604582.75	3.79
2015-10-13	11.31	12.28	11.94	11.2	1232166.0	0.62	5.48	10.672	10.281	9.916	710617.77	605547.19	601260.26	6.2
2015-10-12	10.35	11.32	11.32	10.3	998980.25	1.03	10.01	10.202	10.095	9.806	533471.54	563991.65	563324.48	5.03
2015-10-09	10.1	10.34	10.31	10.03	476294.59	0.11	1.08	9.936	9.995	9.686	416290.69	563673.5	536230.55	2.4
2015-10-08	9.99	10.46	10.2	9.81	588164.81	0.61	6.36	9.8	9.931	9.604	425587.56	598311.92	535987.27	2.96
2015-09-30	9.7	9.77	9.59	9.48	257483.22	0.0	0.0	9.806	9.791	9.54	443705.45	594320.77	529891.04	1.3
2015-09-29	9.8	9.8	9.59	9.39	346434.84	-0.4	-4.0	9.89	9.735	9.557	500476.61	608735.77	542976.17	1.74
2015-09-28	9.63	10.03	9.99	9.36	413075.97	0.38	3.95	9.988	9.597	9.612	594511.76	612452.04	557367.77	2.08
2015-09-25	10.07	10.18	9.63	9.5	522778.97	-0.6	-5.87	10.054	9.51	9.599	711056.32	615794.17	565617.93	2.63
2015-09-24	10.11	10.68	10.23	10.07	678754.25	0.23	2.3	10.062	9.559	9.575	771036.27	607507.79	569015.93	3.41
2015-09-23	9.71	10.25	10.01	9.71	541339.0	-0.07	-0.69	9.776	9.522	9.572	744936.09	582421.3	550171.17	2.72
2015-09-22	10.1	10.38	10.08	9.91	816610.62	-0.24	-2.33	9.58	9.551	9.636	716994.92	596973.32	538168.08	4.11
2015-09-21	9.5	10.35	10.32	9.41	995798.75	0.65	6.72	9.206	9.516	9.761	630392.32	562657.32	522590.04	5.01
2015-09-18	8.93	9.67	9.67	8.77	822678.75	0.88	10.01	8.966	9.377	9.927	520532.02	508787.59	500209.52	4.14
